scenario_id,mis_spec,truth,max_spd_med,Gamma_end_med,rESS_min_med,tail_share_max_med,est_range,direction_note,delta_star_display,grade,dominant_flags,template_revised
S07,1,non_null,0.319,0.849,0.912,0.022,0.094,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S08,1,non_null,0.534,1.537,0.907,0.022,0.1,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S09,1,non_null,0.788,2.24,0.906,0.022,0.102,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S10,1,non_null,0.379,1.273,0.941,0.023,0.109,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S11,1,non_null,0.63,2.275,0.935,0.023,0.106,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S12,1,non_null,0.953,3.428,0.937,0.023,0.117,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; specification_instability; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S13,1,non_null,0.301,0.485,0.868,0.024,0.102,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S14,1,non_null,0.543,0.872,0.857,0.025,0.103,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S15,1,non_null,0.808,1.296,0.862,0.024,0.093,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S16,1,non_null,0.353,0.913,0.911,0.026,0.121,direction change noted,>2.0 (no tipping within evaluated range),Amber,specification_instability,Diagnostics suggested potential fragility; conclusions should be interpreted with the pre-specified sensitivity results. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags.
S17,1,non_null,0.604,1.609,0.908,0.026,0.104,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S18,1,non_null,0.953,2.467,0.916,0.025,0.125,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; specification_instability; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S01,0,causal_null,0.11,0.07,0.879,0.023,0.099,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S02,0,causal_null,0.116,0.072,0.883,0.023,0.1,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S03,0,causal_null,0.111,0.068,0.885,0.023,0.094,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S04,0,causal_null,0.188,0.548,0.931,0.023,0.111,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S05,0,causal_null,0.273,0.961,0.93,0.023,0.099,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S06,0,causal_null,0.353,1.357,0.932,0.023,0.118,direction change noted,>2.0 (no tipping within evaluated range),Amber,specification_instability,Diagnostics suggested potential fragility; conclusions should be interpreted with the pre-specified sensitivity results. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags.
S07,0,causal_null,0.319,0.866,0.906,0.023,0.1,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S08,0,causal_null,0.539,1.522,0.906,0.023,0.092,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S09,0,causal_null,0.777,2.234,0.902,0.023,0.089,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S10,0,causal_null,0.369,1.246,0.939,0.024,0.124,direction change noted,>2.0 (no tipping within evaluated range),Red,specification_instability; extreme_signal,Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags.
S11,0,causal_null,0.649,2.291,0.936,0.025,0.113,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S12,0,causal_null,0.944,3.389,0.945,0.024,0.111,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S13,0,causal_null,0.311,0.494,0.843,0.027,0.11,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S14,0,causal_null,0.54,0.872,0.851,0.027,0.112,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S15,0,causal_null,0.804,1.302,0.854,0.026,0.107,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S16,0,causal_null,0.338,0.872,0.901,0.028,0.107,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S17,0,causal_null,0.61,1.653,0.911,0.026,0.113,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S18,0,causal_null,0.951,2.452,0.903,0.027,0.106,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S01,1,causal_null,0.11,0.07,0.884,0.022,0.101,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S02,1,causal_null,0.116,0.072,0.886,0.022,0.099,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S03,1,causal_null,0.111,0.068,0.886,0.022,0.094,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S04,1,causal_null,0.188,0.548,0.935,0.022,0.114,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S05,1,causal_null,0.273,0.961,0.932,0.022,0.099,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S06,1,causal_null,0.353,1.357,0.93,0.022,0.119,direction change noted,>2.0 (no tipping within evaluated range),Amber,specification_instability,Diagnostics suggested potential fragility; conclusions should be interpreted with the pre-specified sensitivity results. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags.
S07,1,causal_null,0.319,0.866,0.908,0.022,0.102,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S08,1,causal_null,0.539,1.522,0.905,0.022,0.095,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S09,1,causal_null,0.777,2.234,0.909,0.022,0.09,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S10,1,causal_null,0.369,1.246,0.938,0.023,0.122,direction change noted,>2.0 (no tipping within evaluated range),Amber,specification_instability,Diagnostics suggested potential fragility; conclusions should be interpreted with the pre-specified sensitivity results. The conclusion was sensitive to the pre-specified specification set. Direction changes around the causal null were recorded as informational notes rather than grading flags.
S11,1,causal_null,0.649,2.291,0.94,0.023,0.115,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S12,1,causal_null,0.944,3.389,0.941,0.023,0.112,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S13,1,causal_null,0.311,0.494,0.847,0.026,0.112,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S14,1,causal_null,0.54,0.872,0.853,0.025,0.111,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S15,1,causal_null,0.804,1.302,0.855,0.025,0.105,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S16,1,causal_null,0.338,0.872,0.906,0.026,0.107,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S17,1,causal_null,0.61,1.653,0.918,0.025,0.114,direction change noted,>2.0 (no tipping within evaluated range),Green,none,"Across the pre-specified diagnostic panel, no dominant warning signal crossed the calibrated thresholds. Direction changes around the causal null were recorded as informational notes rather than grading flags."
S18,1,causal_null,0.951,2.452,0.905,0.026,0.108,direction change noted,>2.0 (no tipping within evaluated range),Red,high_pressure; high_cumulative_pressure; extreme_signal,"Diagnostics indicated substantial fragility; decision-grade conclusions were not supported under the pre-specified QA panel. Selection pressure increased over follow-up, suggesting prognosis-dependent deviation. Direction changes around the causal null were recorded as informational notes rather than grading flags."
